rs11953630	SBP	0.019955282	0.004410285	0.0	-9
rs1327235	SBP	0.018390162	0.004326439	0.0	-9
rs1458038	SBP	0.040916713	0.004427054	0.0	-9
rs17367504	SBP	0.050475126	0.060313024	0.0	-9
rs2521501	SBP	0.034656233	0.004818334	0.0	-9
rs381815	SBP	0.027110117	0.005433203	0.0	-9
rs419076	SBP	0.019843488	0.003789827	0.0	-9
rs4373814	SBP	0.017775293	0.003868083	0.0	-9
rs6015450	SBP	0.053158189	0.006338737	0.0	-9
rs633185	SBP	0.030911124	0.046841811	0.0	-9
rs7129220	SBP	0.029066518	0.006031302	0.0	-9
rs805303	SBP	0.018278368	0.003750699	0.0	-9
rs932764	SBP	0.026327557	0.004242594	0.0	-9
